search.year,ID,Authors,Title,Journal,Vol,DOI,Year
2017,27,"Soliveres, Santiago; Torices, Ruben; Maestre, Fernando T.",Environmental conditions and biotic interactions acting together promote phylogenetic randomness in semi-arid plant communities: new methods help to avoid misleading conclusions,JOURNAL OF VEGETATION SCIENCE,23,10.1111/j.1654-1103.2012.01410.x,2012
2017,28,"Porceddu, Marco; Mattana, Efisio; Pritchard, Hugh W.; Bacchetta, Gianluigi",Thermal niche for in situ seed germination by Mediterranean mountain streams: model prediction and validation for Rhamnus persicifolia seeds,ANNALS OF BOTANY,112,10.1093/aob/mct238,2013
2017,29,"Harris, MR; Facelli, JM","Competition and resource availability in an annual plant community dominated by an invasive species, Carrichtera annua (L. Aschers.), in South Australia",PLANT ECOLOGY,167,10.1023/A:1023981500007,2003
2017,30,"Alvarez-Yepiz, Juan C.; Burquez, Alberto; Dovciak, Martin",Ontogenetic shifts in plant-plant interactions in a rare cycad within angiosperm communities,OECOLOGIA,175,10.1007/s00442-014-2929-3,2014
2017,31,"Cipriotti, P. A.; Aguiar, M. R.",Resource partitioning and interactions enable coexistence in a grass-shrub steppe,JOURNAL OF ARID ENVIRONMENTS,74,10.1016/j.jaridenv.2010.05.006,2010
2017,32,"Mamolos, AP",Temporal differentiation in maximum biomass and nutrient accumulation rates in two coexisting annual plant species,JOURNAL OF ARID ENVIRONMENTS,64,10.1016/j.jaridenv.2005.06.017,2006
2017,33,"Cipriotti, Pablo A.; Aguiar, Martin R.; Wiegand, Thorsten; Paruelo, Jose M.",A complex network of interactions controls coexistence and relative abundances in Patagonian grass-shrub steppes,JOURNAL OF ECOLOGY,102,10.1111/1365-2745.12246,2014
2017,34,"Martorell, Carlos; Almanza-Celis, Citlali A. I.; Perez-Garcia, Eduardo A.; Sanchez-Ken, Jorge G.","Co-existence in a species-rich grassland: competition, facilitation and niche structure over a soil depth gradient",JOURNAL OF VEGETATION SCIENCE,26,10.1111/jvs.12283,2015
2017,35,"Carvajal, Danny E.; Loayza, Andrea P.; Lopez, Ramiro P.; Toro, Pablo J.; Squeo, Francisco A.",Growth and early seedling survival of four Atacama Desert shrub species under experimental light and water availability regimes,REVISTA CHILENA DE HISTORIA NATURAL,87,10.1186/s40693-014-0028-9,2014
2017,36,"Eranen, Janne K.; Kozlov, Mikhail V.",Interactions between mountain birch seedlings from differentiated populations in contrasting environments of subarctic Russia,PLANT ECOLOGY,200,10.1007/s11258-008-9441-y,2009
2017,37,"Chacon-Labella, Julia; de la Cruz, Marcelino; Escudero, Adrian",Beyond the classical nurse species effect: diversity assembly in a Mediterranean semi-arid dwarf shrubland,JOURNAL OF VEGETATION SCIENCE,27,10.1111/jvs.12337,2016
2017,38,"Gibson, LA; Hume, ID; McRae, PD","Ecophysiology and nutritional niche of the bilby (Macrotis lagotis), an omnivorous marsupial from inland Australia: a review",COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR AND INTEGRATIVE PHYSIOLOGY,133,10.1016/S1095-6433(02)00204-0,2002
2017,39,"Ignace, Danielle D.; Chesson, Peter",Removing an invader: evidence for forces reassembling a Chihuahuan Desert ecosystem,ECOLOGY,95,,2014
2017,40,"Page, Gerald F. M.; Merchant, Andrew; Grierson, Pauline E.",Inter-specific differences in the dynamics of water use and pulse-response of co-dominant canopy species in a dryland woodland,JOURNAL OF ARID ENVIRONMENTS,124,10.1016/j.jaridenv.2015.09.004,2016
2017,41,"Ogburn, R. Matthew; Edwards, Erika J.",Life history lability underlies rapid climate niche evolution in the angiosperm clade Montiaceae,MOLECULAR PHYLOGENETICS AND EVOLUTION,92,10.1016/j.ympev.2015.06.006,2015
2017,42,"Alvarez-Yepiz, Juan C.; Cueva, Alejandro; Dovciak, Martin; Teece, Mark; Yepez, Enrico A.",Ontogenetic resource-use strategies in a rare long-lived cycad along environmental gradients,CONSERVATION PHYSIOLOGY,2,10.1093/conphys/cou034,2014
2017,43,"Rey, Pedro J.; Alcantara, Julio M.; Manzaneda, Antonio J.; Sanchez-Lafuente, Alfonso M.",Facilitation contributes to Mediterranean woody plant diversity but does not shape the diversity-productivity relationship along aridity gradients,NEW PHYTOLOGIST,211,10.1111/nph.13916,2016
2017,44,"Paterno, Gustavo Brant; Siqueira Filho, Jose Alves; Ganade, Gislene","Species-specific facilitation, ontogenetic shifts and consequences for plant community succession",JOURNAL OF VEGETATION SCIENCE,27,10.1111/jvs.12382,2016
2017,45,"Zhang, Gefei; Yang, Qiyue; Wang, Xiaofen; Zhao, Wenzhi","Size-related change in Nitraria sphaerocarpa patches shifts the shrub-annual interaction in an arid desert, northwestern China",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,69,10.1016/j.actao.2015.10.004,2015
2017,46,"Butterfield, Bradley J.; Bradford, John B.; Munson, Seth M.; Gremer, Jennifer R.",Aridity increases below-ground niche breadth in grass communities,PLANT ECOLOGY,218,10.1007/s11258-016-0696-4,2017
2017,47,"Navarro-Cano, Jose A.; Goberna, Marta; Valiente-Banuet, Alfonso; Verdu, Miguel",Same nurse but different time: temporal divergence in the facilitation of plant lineages with contrasted functional syndromes,FUNCTIONAL ECOLOGY,30,10.1111/1365-2435.12660,2016
2017,48,"Ficetola, G. Francesco; Stoeck, Matthias",Do hybrid-origin polyploid amphibians occupy transgressive or intermediate ecological niches compared to their diploid ancestors?,JOURNAL OF BIOGEOGRAPHY,43,10.1111/jbi.12667,2016
2017,49,"Saenz-Mata, Jorge; Palacio-Rodriguez, Ruben; Sanchez-Galvan, Homero; Balagurusamy, Nagamani",Plant Growth Promoting Rhizobacteria Associated to Halophytes: Potential Applications in Agriculture,SABKHA ECOSYSTEMS VOL V: THE AMERICAS,48,10.1007/978-3-319-27093-7_24,2016
2017,50,"Lehmann, D.; Mfune, J. K. E.; Gewers, E.; Brain, C.; Voigt, C. C.",Individual variation of isotopic niches in grazing and browsing desert ungulates,OECOLOGIA,179,10.1007/s00442-015-3335-1,2015
