search,terms,hits
1,plant facilitat* niche* arid*,47
2,plant facilitat* niche* desert*,32
3,nurse plant* niche* arid,16
4,nurse plant* niche* desert,11
5,positive interact* niche* desert*,21
6,positive interact* niche* arid*,29
final,total after duplicates,53
